movie_name,movie_score,movie_eval,img_src
黑客帝国,9.0,649378人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg
指环王1：护戒使者,9.0,640899人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2640234840.jpg
让子弹飞,8.9,1312975人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg
绿皮书,8.9,1262265人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg
饮食男女,9.1,476722人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg
美丽心灵,9.0,615984人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg
窃听风暴,9.2,456390人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg
海蒂和爷爷,9.2,366625人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg
两杆大烟枪,9.1,491448人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg
本杰明·巴顿奇事,8.9,798952人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg
看不见的客人,8.8,978267人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg
飞越疯人院,9.1,469208人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
西西里的美丽传说,8.9,790650人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg
穿条纹睡衣的男孩,9.1,417601人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg
拯救大兵瑞恩,9.0,523900人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg
小鞋子,9.2,328608人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg
音乐之声,9.1,485149人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg
情书,8.9,730931人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg
海豚湾,9.3,308122人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg
阿凡达,8.8,1145340人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2634997853.jpg
致命魔术,8.9,697526人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg
美国往事,9.2,336136人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg
沉默的羔羊,8.9,691595人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg
禁闭岛,8.8,767911人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg
低俗小说,8.9,672815人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg
蝴蝶效应,8.8,755561人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg
